age,income_bracket,financial_goals,age_bracket,debt_level,savings_rate,investment_experience,financial_stress_level,programId,title,PCA1,PCA2,combined_features
34.0,Medium,Investment Growth,Middle-aged,Medium,Medium,Intermediate,Medium,12,Economic Solutions Total,-0.38,0.17,"Medium, Investment Growth, Middle-aged, Medium, Medium, Intermediate, Medium -0.38 0.17"
48.0,Unknown,Investment Growth,Middle-aged,Medium,Medium,Beginner,Medium,78,Wealth Blueprint,0.32,-0.22,"Unknown, Investment Growth, Middle-aged, Medium, Medium, Beginner, Medium 0.32 -0.22"
48.0,Unknown,Investment Growth,Middle-aged,Medium,Medium,Beginner,Medium,53,Thrive Planner Total,0.11,0.14,"Unknown, Investment Growth, Middle-aged, Medium, Medium, Beginner, Medium 0.11 0.14"
48.0,Unknown,Investment Growth,Middle-aged,Medium,Medium,Beginner,Medium,21,Economic Blueprint Supreme,-0.23,0.04,"Unknown, Investment Growth, Middle-aged, Medium, Medium, Beginner, Medium -0.23 0.04"
46.0,Low,"Investment Growth, Emergency Fund",Middle-aged,High,High,Beginner,High,14,Cash Guide,-0.26,0.14,"Low, Investment Growth, Emergency Fund, Middle-aged, High, High, Beginner, High -0.26 0.14"
33.0,Low,Retirement,Middle-aged,Unknown,High,Intermediate,Medium,49,Wealth Navigator,0.1,0.18,"Low, Retirement, Middle-aged, Unknown, High, Intermediate, Medium 0.1 0.18"
33.0,Low,Retirement,Middle-aged,Unknown,High,Intermediate,Medium,98,Money Blueprint Unlimited,0.48,-0.03,"Low, Retirement, Middle-aged, Unknown, High, Intermediate, Medium 0.48 -0.03"
26.0,Low,"Emergency Fund, Investment Growth",Young,High,Unknown,Beginner,Medium,68,Economic Academy Advanced,0.3,0.06,"Low, Emergency Fund, Investment Growth, Young, High, Unknown, Beginner, Medium 0.3 0.06"
43.0,Low,Retirement,Middle-aged,Medium,High,Intermediate,Low,32,Financial Advantage,-0.12,-0.04,"Low, Retirement, Middle-aged, Medium, High, Intermediate, Low -0.12 -0.04"
37.0,Medium,Emergency Fund,Middle-aged,Low,Low,Intermediate,High,39,Success Complete,-0.1,0.36,"Medium, Emergency Fund, Middle-aged, Low, Low, Intermediate, High -0.1 0.36"
25.0,Medium,"Emergency Fund, Investment Growth",Young,High,Medium,Beginner,High,23,Fortune Success Pro,-0.22,-0.08,"Medium, Emergency Fund, Investment Growth, Young, High, Medium, Beginner, High -0.22 -0.08"
28.0,Low,Retirement,Young,High,High,Intermediate,Unknown,38,Strategy,0.01,-0.02,"Low, Retirement, Young, High, High, Intermediate, Unknown 0.01 -0.02"
30.0,High,"Retirement, Emergency Fund",Young,Unknown,Unknown,Unknown,Unknown,92,Budget Foundation Pro,0.44,0.06,"High, Retirement, Emergency Fund, Young, Unknown, Unknown, Unknown, Unknown 0.44 0.06"
36.0,Low,Investment Growth,Middle-aged,Low,High,Beginner,Low,84,Savvy Success,0.38,-0.12,"Low, Investment Growth, Middle-aged, Low, High, Beginner, Low 0.38 -0.12"
46.0,Medium,Emergency Fund,Middle-aged,Low,Medium,Beginner,Medium,95,Fortune Planner,0.48,-0.15,"Medium, Emergency Fund, Middle-aged, Low, Medium, Beginner, Medium 0.48 -0.15"
40.0,High,"Retirement, Investment Growth",Middle-aged,Low,High,Intermediate,Medium,24,Money Mastery Plus,-0.21,-0.01,"High, Retirement, Investment Growth, Middle-aged, Low, High, Intermediate, Medium -0.21 -0.01"
26.0,Medium,"Debt Freedom, Investment Growth",Young,Medium,Medium,Beginner,High,18,Budget System,-0.23,0.14,"Medium, Debt Freedom, Investment Growth, Young, Medium, Medium, Beginner, High -0.23 0.14"
43.0,Low,Unknown,Middle-aged,Medium,Low,Intermediate,Unknown,45,Capital System,-0.14,-0.15,"Low, Unknown, Middle-aged, Medium, Low, Intermediate, Unknown -0.14 -0.15"
30.0,Low,"Debt Freedom, Retirement",Young,Unknown,Unknown,Unknown,Unknown,50,Academy Essential,-0.04,0.03,"Low, Debt Freedom, Retirement, Young, Unknown, Unknown, Unknown, Unknown -0.04 0.03"
49.0,High,Retirement,Older,Unknown,Unknown,Unknown,Unknown,64,Savvy Vision,0.21,0.24,"High, Retirement, Older, Unknown, Unknown, Unknown, Unknown 0.21 0.24"
45.0,High,"Investment Growth, Emergency Fund",Middle-aged,Unknown,Medium,Intermediate,Low,61,Money Academy Total,-0.12,-0.41,"High, Investment Growth, Emergency Fund, Middle-aged, Unknown, Medium, Intermediate, Low -0.12 -0.41"
39.0,High,"Debt Freedom, Investment Growth",Middle-aged,Low,Medium,Beginner,Medium,77,Academy,0.26,0.11,"High, Debt Freedom, Investment Growth, Middle-aged, Low, Medium, Beginner, Medium 0.26 0.11"
33.0,Medium,"Retirement, Debt Freedom",Middle-aged,Low,Unknown,Intermediate,Unknown,61,Money Academy Total,-0.12,-0.41,"Medium, Retirement, Debt Freedom, Middle-aged, Low, Unknown, Intermediate, Unknown -0.12 -0.41"
46.0,Unknown,Emergency Fund,Middle-aged,Unknown,High,Intermediate,Medium,62,Thrive Academy Essential,0.21,-0.12,"Unknown, Emergency Fund, Middle-aged, Unknown, High, Intermediate, Medium 0.21 -0.12"
46.0,Unknown,Emergency Fund,Middle-aged,Unknown,High,Intermediate,Medium,84,Savvy Success,0.38,-0.12,"Unknown, Emergency Fund, Middle-aged, Unknown, High, Intermediate, Medium 0.38 -0.12"
,Low,Retirement,Unknown,Unknown,Unknown,Unknown,Unknown,38,Strategy,0.01,-0.02,"Low, Retirement, Unknown, Unknown, Unknown, Unknown, Unknown 0.01 -0.02"
26.0,Medium,Emergency Fund,Young,Unknown,Unknown,Unknown,Unknown,45,Capital System,-0.14,-0.15,"Medium, Emergency Fund, Young, Unknown, Unknown, Unknown, Unknown -0.14 -0.15"
45.0,Medium,Debt Freedom,Middle-aged,Low,Low,Intermediate,Unknown,55,Fiscal System Expert,0.1,0.23,"Medium, Debt Freedom, Middle-aged, Low, Low, Intermediate, Unknown 0.1 0.23"
40.0,Medium,Unknown,Middle-aged,Unknown,Unknown,Unknown,Unknown,81,Asset Path,0.38,0.1,"Medium, Unknown, Middle-aged, Unknown, Unknown, Unknown, Unknown 0.38 0.1"
37.0,Low,"Investment Growth, Debt Freedom",Middle-aged,High,High,Intermediate,Low,66,Dollar Academy Ultra,0.06,-0.36,"Low, Investment Growth, Debt Freedom, Middle-aged, High, High, Intermediate, Low 0.06 -0.36"
38.0,Medium,Unknown,Middle-aged,Low,Medium,Intermediate,Unknown,50,Academy Essential,-0.04,0.03,"Medium, Unknown, Middle-aged, Low, Medium, Intermediate, Unknown -0.04 0.03"
43.0,High,"Investment Growth, Debt Freedom",Middle-aged,High,High,Intermediate,Medium,25,Prosper Journey,-0.22,0.33,"High, Investment Growth, Debt Freedom, Middle-aged, High, High, Intermediate, Medium -0.22 0.33"
43.0,High,"Investment Growth, Debt Freedom",Middle-aged,High,High,Intermediate,Medium,83,Academy Total,0.32,0.32,"High, Investment Growth, Debt Freedom, Middle-aged, High, High, Intermediate, Medium 0.32 0.32"
43.0,High,"Investment Growth, Debt Freedom",Middle-aged,High,High,Intermediate,Medium,12,Economic Solutions Total,-0.38,0.17,"High, Investment Growth, Debt Freedom, Middle-aged, High, High, Intermediate, Medium -0.38 0.17"
26.0,Low,Emergency Fund,Young,High,Medium,Beginner,High,13,Roadmap,-0.43,-0.31,"Low, Emergency Fund, Young, High, Medium, Beginner, High -0.43 -0.31"
47.0,Low,Emergency Fund,Middle-aged,High,Unknown,Unknown,Medium,1,Smart Builder Premium,-0.37,0.41,"Low, Emergency Fund, Middle-aged, High, Unknown, Unknown, Medium -0.37 0.41"
,High,"Investment Growth, Emergency Fund",Unknown,High,Medium,Beginner,High,10,Financial Success,-0.31,-0.05,"High, Investment Growth, Emergency Fund, Unknown, High, Medium, Beginner, High -0.31 -0.05"
35.0,Low,Investment Growth,Middle-aged,Low,Unknown,Beginner,High,8,Future Blueprint Advanced,-0.49,0.09,"Low, Investment Growth, Middle-aged, Low, Unknown, Beginner, High -0.49 0.09"
32.0,High,"Emergency Fund, Debt Freedom",Young,Unknown,Unknown,Unknown,Unknown,70,Secure Guide,0.3,0.03,"High, Emergency Fund, Debt Freedom, Young, Unknown, Unknown, Unknown, Unknown 0.3 0.03"
25.0,High,Debt Freedom,Young,Low,Low,Intermediate,Medium,54,Thrive Solutions,0.11,0.05,"High, Debt Freedom, Young, Low, Low, Intermediate, Medium 0.11 0.05"
50.0,High,"Investment Growth, Retirement",Older,Unknown,Unknown,Unknown,Unknown,78,Wealth Blueprint,0.32,-0.22,"High, Investment Growth, Retirement, Older, Unknown, Unknown, Unknown, Unknown 0.32 -0.22"
30.0,Medium,Debt Freedom,Young,Medium,Medium,Intermediate,High,27,Wealth Mastery Expert,-0.3,-0.59,"Medium, Debt Freedom, Young, Medium, Medium, Intermediate, High -0.3 -0.59"
30.0,Medium,Debt Freedom,Young,Medium,Medium,Intermediate,High,5,Vision Plus,-0.61,-0.52,"Medium, Debt Freedom, Young, Medium, Medium, Intermediate, High -0.61 -0.52"
46.0,High,"Emergency Fund, Retirement",Middle-aged,Medium,High,Unknown,Medium,14,Cash Guide,-0.26,0.14,"High, Emergency Fund, Retirement, Middle-aged, Medium, High, Unknown, Medium -0.26 0.14"
37.0,Low,Retirement,Middle-aged,High,Low,Intermediate,High,90,Economic Blueprint Platinum,0.4,0.19,"Low, Retirement, Middle-aged, High, Low, Intermediate, High 0.4 0.19"
43.0,Low,"Emergency Fund, Debt Freedom",Middle-aged,Unknown,Low,Intermediate,Low,49,Wealth Navigator,0.1,0.18,"Low, Emergency Fund, Debt Freedom, Middle-aged, Unknown, Low, Intermediate, Low 0.1 0.18"
